,Country,Year,iso_code,primary_energy_consumption
7731,France,1995,FRA,2904.197998046875
8197,Germany,1995,DEU,3974.795166015625
10355,Italy,1995,ITA,2167.4765625
19491,Spain,1995,ESP,1219.409912109375
10356,Italy,1996,ITA,2176.34521484375
7732,France,1996,FRA,3012.348388671875
19492,Spain,1996,ESP,1266.5682373046875
8198,Germany,1996,DEU,4105.845703125
10357,Italy,1997,ITA,2197.643798828125
19493,Spain,1997,ESP,1317.5938720703125
7733,France,1997,FRA,2965.679443359375
8199,Germany,1997,DEU,4053.18701171875
19494,Spain,1998,ESP,1377.5439453125
8200,Germany,1998,DEU,4019.631591796875
7734,France,1998,FRA,3037.221923828125
10358,Italy,1998,ITA,2202.060302734375
8201,Germany,1999,DEU,3963.560302734375
10359,Italy,1999,ITA,2214.88916015625
7735,France,1999,FRA,3078.01611328125
19495,Spain,1999,ESP,1441.6734619140625
8202,Germany,2000,DEU,3988.17919921875
10360,Italy,2000,ITA,2100.080322265625
19496,Spain,2000,ESP,1525.34814453125
7736,France,2000,FRA,3117.9091796875
19497,Spain,2001,ESP,1587.078125
10361,Italy,2001,ITA,2096.657470703125
8203,Germany,2001,DEU,4062.799072265625
7737,France,2001,FRA,3143.04638671875
7738,France,2002,FRA,3118.91943359375
8204,Germany,2002,DEU,4011.722900390625
10362,Italy,2002,ITA,2101.48583984375
19498,Spain,2002,ESP,1614.6258544921875
19499,Spain,2003,ESP,1694.781005859375
10363,Italy,2003,ITA,2170.0517578125
8205,Germany,2003,DEU,4010.470947265625
7739,France,2003,FRA,3153.041748046875
7740,France,2004,FRA,3180.1298828125
8206,Germany,2004,DEU,4009.893310546875
19500,Spain,2004,ESP,1744.4593505859375
10364,Italy,2004,ITA,2224.656005859375
10365,Italy,2005,ITA,2222.93017578125
19501,Spain,2005,ESP,1770.329833984375
8207,Germany,2005,DEU,3962.63525390625
7741,France,2005,FRA,3154.0791015625
7742,France,2006,FRA,3128.9306640625
8208,Germany,2006,DEU,4062.38720703125
19502,Spain,2006,ESP,1783.066650390625
10366,Italy,2006,ITA,2221.86376953125
10367,Italy,2007,ITA,2175.280029296875
19503,Spain,2007,ESP,1828.4080810546875
8209,Germany,2007,DEU,3893.42333984375
7743,France,2007,FRA,3075.78955078125
8210,Germany,2008,DEU,3934.666259765625
7744,France,2008,FRA,3084.8447265625
19504,Spain,2008,ESP,1774.5941162109375
10368,Italy,2008,ITA,2150.093994140625
10369,Italy,2009,ITA,1994.809814453125
19505,Spain,2009,ESP,1652.0989990234375
7745,France,2009,FRA,2908.910400390625
8211,Germany,2009,DEU,3692.17822265625
8212,Germany,2010,DEU,3847.1513671875
7746,France,2010,FRA,3001.230712890625
19506,Spain,2010,ESP,1692.3475341796875
10370,Italy,2010,ITA,2062.27001953125
8213,Germany,2011,DEU,3710.584716796875
7747,France,2011,FRA,2897.709716796875
19507,Spain,2011,ESP,1661.355712890625
10371,Italy,2011,ITA,2020.390869140625
10372,Italy,2012,ITA,1959.9749755859373
19508,Spain,2012,ESP,1647.5111083984375
7748,France,2012,FRA,2894.8583984375
8214,Germany,2012,DEU,3761.916259765625
8215,Germany,2013,DEU,3868.51708984375
7749,France,2013,FRA,2925.05322265625
19509,Spain,2013,ESP,1578.5306396484375
10373,Italy,2013,ITA,1863.062744140625
19510,Spain,2014,ESP,1554.2188720703125
10374,Italy,2014,ITA,1816.3160400390625
7750,France,2014,FRA,2797.7822265625
8216,Germany,2014,DEU,3710.464599609375
8217,Germany,2015,DEU,3780.85986328125
7751,France,2015,FRA,2823.4267578125
10375,Italy,2015,ITA,1838.4654541015625
19511,Spain,2015,ESP,1573.1444091796875
19512,Spain,2016,ESP,1582.9134521484375
10376,Italy,2016,ITA,1834.5379638671875
7752,France,2016,FRA,2766.59716796875
8218,Germany,2016,DEU,3841.451171875
8219,Germany,2017,DEU,3949.555908203125
7753,France,2017,FRA,2756.22900390625
10377,Italy,2017,ITA,1847.6258544921875
19513,Spain,2017,ESP,1602.0426025390625
19514,Spain,2018,ESP,1628.6715087890625
10378,Italy,2018,ITA,1859.7816162109373
7754,France,2018,FRA,2790.4287109375
8220,Germany,2018,DEU,3845.41357421875
8221,Germany,2019,DEU,3753.70361328125
7755,France,2019,FRA,2731.347412109375
10379,Italy,2019,ITA,1839.95263671875
19515,Spain,2019,ESP,1583.87109375
19516,Spain,2020,ESP,1422.9599609375
10380,Italy,2020,ITA,1663.422607421875
7756,France,2020,FRA,2444.265380859375
8222,Germany,2020,DEU,3498.9150390625
8223,Germany,2021,DEU,3598.492431640625
7757,France,2021,FRA,2597.560546875
10381,Italy,2021,ITA,1785.1416015625
19517,Spain,2021,ESP,1531.8994140625
19518,Spain,2022,ESP,1592.16552734375
10382,Italy,2022,ITA,1755.46484375
7758,France,2022,FRA,2306.19189453125
8224,Germany,2022,DEU,3455.449951171875
8225,Germany,2023,DEU,3178.885986328125
7759,France,2023,FRA,2406.513671875
10383,Italy,2023,ITA,1680.6544189453125
19519,Spain,2023,ESP,1569.631103515625
